图片,价格,价格1,名称_链接,名称,skcolor_ljg,promowords,pcommit,店铺_链接,店铺,关键词,pobtn_链接,pobtn
,109.00,109.00,https://item.jd.com/10063204386269.html,"
瑞士莲（lindt） 进口软心黑巧克力球Lindor年货零食喜糖果圣诞节生日礼物送女生 【日期新鲜】瑞士莲混合5味600g",巧克力,【正品大牌巧克力】【团购联系客服更优惠】【可指定送达时间】【加入会员享店铺长期优惠券哦！】,2000+条评价,https://mall.jd.com/index-12338849.html?from=pc,圣琳轩食品旗舰店,"
								京东物流
								新品
								秒杀
						",https://cart.jd.com/gate.action?pid=10063204386269&pcount=1&ptype=1,加入购物车
,149.00,149.00,https://item.jd.com/1950414.html,"
Lindt瑞士莲软心 瑞士进口精选巧克力分享装600g零食圣诞礼物",巧克力,香浓巧克力外壳与幼滑软心的绝妙融合，包含5种口味（牛奶、黑巧克力、榛仁、焦糖、白巧克力），十足的大容量乐享装，更适合与家人朋友分享。,20万+条评价,https://mall.jd.com/index-1000081022.html?from=pc,瑞士莲京东自营旗舰店,"
								自营
								品质溯源
								赠
						",,
,119.00,119.00,https://item.jd.com/10031531854741.html,朵娜贝拉（Dorabella）比利时进口巧克力礼盒装圣诞节礼物男平安夜送女友儿童糖果大礼包 【简爱】12粒粉色礼盒装,巧克力,,2000+条评价条评价,https://mall.jd.com/index-581814.html?from=pc,朵娜贝拉食品官方旗舰店,"
						",https://cart.jd.com/gate.action?pid=10031531854741&pcount=1&ptype=1,加入购物车
,129.00,129.00,https://item.jd.com/10063179457696.html,诺梵金松露巧克力礼盒圣诞节专供款儿童送女友礼物 金松露圣诞巧克力礼盒,巧克力,诺梵金松露巧克力礼盒圣诞节专供款儿童送女友礼物 金松露圣诞巧克力礼盒,500+条评价,https://mall.jd.com/index-22435.html?from=pc,诺梵官方旗舰店,"
								新品
								每满129-30
						",https://cart.jd.com/gate.action?pid=10063179457696&pcount=1&ptype=1,加入购物车
,68.00,68.00,https://item.jd.com/61018627380.html,费列罗（FERRERO） 巧克力礼盒装圣诞节礼物糖果生日礼物女生情人节礼物送女友年货 费列罗18粒（圣诞限定款）,巧克力,【浓情巧意，赠你甜蜜】圣诞限定费列罗18粒，下单立减16元。【正品保证、日期新鲜】团购联系客服享优惠,5万+条评价,https://mall.jd.com/index-755041.html?from=pc,多唯呀礼盒旗舰店,"
								京东物流
						",https://cart.jd.com/gate.action?pid=61018627380&pcount=1&ptype=1,加入购物车
,119.00,119.00,https://item.jd.com/100034896139.html,"
歌帝梵 (GODIVA)臻粹巧克力礼盒精选10颗装100g 圣诞节礼物 进口巧克力",巧克力,【限时折上折】领券下单更优惠！！！ 【下单有礼】尊享宅家美食，赠专属礼袋! 【下单赠豆】会员专享下单即赠500京豆!速戳》,2万+条评价,https://mall.jd.com/index-1000395803.html?from=pc,歌帝梵（GODIVA）臻享京东自营旗舰店,"
								自营
								1件9.4折
								赠
						",,
,31.90,31.90,https://item.jd.com/326467.html,"
士力架花生夹心巧克力全家桶460g桶装王嘉尔代言（新旧包装随机发放）",巧克力,士力架花生夹心巧克力全家桶460g桶装王嘉尔代言（新旧包装随机发放）,200万+条评价条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,"
								自营
						",,
,62.90,62.90,https://item.jd.com/2020621.html,"
士力架花生夹心巧克力1000g量贩装 年货节零食 办公室休闲食品 横扫饥饿",巧克力,士力架花生夹心巧克力1000g量贩装 年货节零食 办公室休闲食品 横扫饥饿,100万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,"
								自营
						",,
,138.00,138.00,https://item.jd.com/66497270111.html,明治（Meiji） 澳洲坚果夹心巧克力巴旦木夹心巧克力黑巧克力白巧克力 澳洲坚果夹心黑巧克力58g×10盒,巧克力,,1000+条评价,https://mall.jd.com/index-31616.html?from=pc,明治旗舰店,"
						",https://cart.jd.com/gate.action?pid=66497270111&pcount=1&ptype=1,加入购物车
,198.00,198.00,https://item.jd.com/100029396259.html,patchi芭驰 进口巧克力礼盒 （经典款）250g 迪拜 圣诞礼物 生日礼物 ,巧克力,企业团购优惠联系客服咨询~订单满500元需求礼袋可联系客服~欢迎咨询~~,2万+条评价,https://mall.jd.com/index-1000333345.html?from=pc,patchi京东自营旗舰店,"
								自营
						",,
,42.90,42.90,https://item.jd.com/1178893.html,"
德芙（Dove）肖战同款分享碗装66%可可脂醇黑巧克力252g圣诞礼物 新年限定年货",巧克力,德芙（Dove）肖战同款分享碗装66%可可脂醇黑巧克力252g圣诞礼物 新年限定年货,500万+条评价条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,"
								自营
						",,
,49.90,49.90,https://item.jd.com/10047170029863.html,德芙（Dove）丝滑牛奶巧克力224gx2盒排块原装办公休闲零食圣诞节礼物年货礼包 丝滑牛奶14g×16（2盒装）,巧克力,【正品大牌巧克力】【办公零食】【居家分享】【圣诞节礼物】【团购联系客服更优惠】【可指定送达时间】查看,1万+条评价,https://mall.jd.com/index-10258870.html?from=pc,德芙爱唯一专卖店,"
								京东物流
						",,
,47.41,47.41,https://item.jd.com/100005229910.html,"
德芙（Dove）肖战同款丝滑牛奶巧克力4.5g婚庆喜糖500g 圣诞礼物新年限定 年货",巧克力,德芙（Dove）肖战同款丝滑牛奶巧克力4.5g婚庆喜糖500g 圣诞礼物新年限定 年货,20万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,"
								自营
						",,
,69.90,69.90,https://item.jd.com/100033318883.html,"
费列罗（FERRERO）榛果威化糖果黑巧克力 伴手礼圣诞节日送礼15粒礼盒分享装187.5g ",巧克力,"【费列罗健达巧克力，圣诞特惠】【超值优惠享不停,爆款直降金榜推荐，部分爆款低至7折】！加入会员领券且可抽超值大奖，数量有限，速抢，更多优惠进入",2万+条评价,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"
								自营
								赠
						",,
,49.00,49.00,https://item.jd.com/10058995601351.html,知乎知物咖啡巧粒脆麦丽素巧克力低负担休闲零食0添加蔗糖1盒（6袋） 咖啡巧粒脆1盒（6袋）,巧克力,,200+条评价,https://mall.jd.com/index-11874245.html?from=pc,知乎知物咖啡官方旗舰店,"
						",https://cart.jd.com/gate.action?pid=10058995601351&pcount=1&ptype=1,加入购物车
,99.00,99.00,https://item.jd.com/10029451725411.html,"
德芙（Dove）巧克力礼盒生日礼物女生情人圣诞节礼物送女生女友平安夜圣诞268g 德芙巧克力和伊诺滋巧克力组合装",巧克力,【新人首单再减】【圣诞节礼物】【全国八仓发货】【生日礼物】【结婚纪念日礼物】【送女友送老婆】【买贵退差，保价】【15天无理由退换货】【店铺更多好物，查看】,20万+条评价,https://mall.jd.com/index-657104.html?from=pc,多唯呀巧克力旗舰店,"
								京东物流
								满99-30
						",https://cart.jd.com/gate.action?pid=10029451725411&pcount=1&ptype=1,加入购物车
,157.90,157.90,https://item.jd.com/967625.html,"
费列罗（FERRERO）臻品巧克力制品 年货节礼物喜糖伴手礼32粒礼盒装364.3g",巧克力,"【费列罗健达巧克力，圣诞特惠】【黑巧新品火爆上市，三种口味，下单送礼品袋】！加入会员领券且可抽超值大奖,数量有限，速抢，更多优惠进入",50万+条评价,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"
								自营
								满150-20
						",https://cart.jd.com/gate.action?pid=967625&pcount=1&ptype=1,加入购物车
,42.90,42.90,https://item.jd.com/1178893.html,"
德芙（Dove）肖战同款分享碗装66%可可脂醇黑巧克力252g圣诞礼物 新年限定年货",巧克力,德芙（Dove）肖战同款分享碗装66%可可脂醇黑巧克力252g圣诞礼物 新年限定年货,500万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,"
								自营
						",https://cart.jd.com/gate.action?pid=1178893&pcount=1&ptype=1,加入购物车
,79.00,79.00,https://item.jd.com/100042808629.html,"
乐家（AlmondRoca）美国进口扁桃杏仁巧克力味糖果零食圣诞生日礼物原味23粒284g/罐",巧克力,"【美国进口】甄选上等扁桃仁，口感层次分明，甜脆而不油腻，乐享醇脆，一口难忘，客服热线：15980593503,更多猛戳~",2万+条评价,https://mall.jd.com/index-1000290715.html?from=pc,乐家（ALMOND ROCA）京东自营旗舰店,"
								自营
								新品
								满56-7
						",https://cart.jd.com/gate.action?pid=100042808629&pcount=1&ptype=1,加入购物车
,109.00,109.00,https://item.jd.com/31457949380.html,瑞士莲巧克力Lindt进口软心糖果巧克力球圣诞礼物送女友年货喜糖伴手礼 经典600g【混合5口味】,巧克力,日期新，快则次日达，7仓发货，部分地区1-2天。除环境因素外,2万+条评价,https://mall.jd.com/index-841496.html?from=pc,萨王纳官方旗舰店,"
								京东物流
								秒杀
								每满199-20
						",https://cart.jd.com/gate.action?pid=31457949380&pcount=1&ptype=1,加入购物车
,119.00,119.00,https://item.jd.com/10031531854741.html,朵娜贝拉（Dorabella）比利时进口巧克力礼盒装圣诞节礼物男平安夜送女友儿童糖果大礼包 【简爱】12粒粉色礼盒装,巧克力,,2000+条评价,https://mall.jd.com/index-581814.html?from=pc,朵娜贝拉食品官方旗舰店,"
						",https://cart.jd.com/gate.action?pid=10031531854741&pcount=1&ptype=1,加入购物车
,35.50,35.50,https://item.jd.com/988585.html,"
M&M'S妙趣畅享混合巧克力豆270g桶装圣诞礼物年货（新旧包装随机发放）",巧克力,M&M'S妙趣畅享混合巧克力豆270g桶装圣诞礼物年货（新旧包装随机发放）,20万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,"
								自营
						",https://cart.jd.com/gate.action?pid=988585&pcount=1&ptype=1,加入购物车
,59.00,59.00,https://item.jd.com/319460.html,"
Lindt瑞士莲软心 意大利进口精选巧克力分享装200g零食圣诞礼物",巧克力,高贵金色包装搭配蕾丝花纹装饰，含4种精选口味（牛奶、60%特浓黑巧克力、榛仁、白巧克力），香浓巧克力外壳与幼滑软心的绝妙融合。,20万+条评价,https://mall.jd.com/index-1000081022.html?from=pc,瑞士莲京东自营旗舰店,"
								自营
								品质溯源
						",https://cart.jd.com/gate.action?pid=319460&pcount=1&ptype=1,加入购物车
,299.90,299.90,https://item.jd.com/730618.html,"
费列罗（FERRERO）榛果威化糖果巧克力制品年货节日礼物 喜糖伴手礼96粒婚礼装1200g",巧克力,"【费列罗健达巧克力，圣诞特惠】【黑巧新品火爆上市，三种口味，下单送礼品袋】！加入会员领券且可抽超值大奖,数量有限，速抢，更多优惠进入",50万+条评价,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"
								自营
								满299-50
						",https://cart.jd.com/gate.action?pid=730618&pcount=1&ptype=1,加入购物车
,28.80,28.80,https://item.jd.com/967615.html,"
费列罗（FERRERO）拉斐尔椰蓉扁桃仁糖果酥球喜糖零食伴手礼节日礼物15粒礼盒装150g",,"【费列罗健达巧克力，圣诞特惠】【超值优惠享不停,爆款直降金榜推荐，部分爆款低至7折】！加入会员领券且可抽超值大奖，数量有限，速抢，更多优惠进入",20万+条评价,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"
								自营
						",https://cart.jd.com/gate.action?pid=967615&pcount=1&ptype=1,加入购物车
,32.90,32.90,https://item.jd.com/1178886.html,"
德芙（Dove）肖战同款香浓黑巧克力分享碗装252g圣诞礼物(新旧包装随机发放)",巧克力,德芙（Dove）肖战同款香浓黑巧克力分享碗装252g圣诞礼物(新旧包装随机发放),500万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,"
								自营
						",https://cart.jd.com/gate.action?pid=1178886&pcount=1&ptype=1,加入购物车
,163.90,163.90,https://item.jd.com/100014731550.html,健达（Kinder）牛奶巧克力制品儿童零食年货圣诞节日礼物4条小箱装 T4*20 1000g,巧克力,,50万+条评价,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"
								自营
						",https://cart.jd.com/gate.action?pid=100014731550&pcount=1&ptype=1,加入购物车
,27.30,27.30,https://item.jd.com/3397830.html,"
好时（Hershey’s）黑巧克力 排块 办公室休闲零食 圣诞礼物 婚庆糖果 喜糖 210g",巧克力,好时（Hershey’s）黑巧克力 排块 办公室休闲零食 圣诞礼物 婚庆糖果 喜糖 210g,20万+条评价,https://mall.jd.com/index-1000075682.html?from=pc,好时京东自营旗舰店,"
								自营
								品质溯源
						",https://cart.jd.com/gate.action?pid=3397830&pcount=1&ptype=1,加入购物车
,32.90,32.90,https://item.jd.com/1178887.html,"
德芙（Dove）肖战同款奶香白巧克力分享碗装252g圣诞礼物新年限定 年货",巧克力,德芙（Dove）肖战同款奶香白巧克力分享碗装252g圣诞礼物新年限定 年货,500万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,"
								自营
						",https://cart.jd.com/gate.action?pid=1178887&pcount=1&ptype=1,加入购物车
,69.00,69.00,https://item.jd.com/10031865334029.html,瑞士莲软心巧克力500gLindt牛奶夹心球散装糖果婚礼婚庆生日情人节表白日结婚喜糖520喜酒 多口味混合1斤(随机),巧克力,国内现货，非国外邮寄。放心购买。正品保障，日期新,1万+条评价,https://mall.jd.com/index-11286848.html?from=pc,UNCLE TOM旗舰店,"
								券2-1
								每满68-6
						",https://cart.jd.com/gate.action?pid=10031865334029&pcount=1&ptype=1,加入购物车
,69.80,69.80,https://item.jd.com/100033791553.html,"
爱普诗比利时进口精选夹心巧克力礼盒108g 生日礼物女 圣诞节礼物 年货",巧克力,爱普诗比利时进口精选夹心巧克力礼盒108g 生日礼物女 圣诞节礼物 年货,20万+条评价,https://mall.jd.com/index-1000303482.html?from=pc,爱普诗（Alpes d'Or）京东自营旗舰店,"
								自营
								2件8折
						",https://cart.jd.com/gate.action?pid=100033791553&pcount=1&ptype=1,加入购物车
,178.00,178.00,https://item.jd.com/5595784.html,"
Lindt瑞士莲经典 瑞士进口精选巧克力私享装500g送礼聚会伴手礼",巧克力,极具瑞士风情的独特包装，六种诱人口味，每款都带你体验到独特的瑞士味道。是在特别的日子馈赠亲友，方便携带并与喜欢的人一起分享的不二选择。,1万+条评价,https://mall.jd.com/index-1000081022.html?from=pc,瑞士莲京东自营旗舰店,"
								自营
								品质溯源
								秒杀
								赠
						",https://cart.jd.com/gate.action?pid=5595784&pcount=1&ptype=1,加入购物车
,31.90,31.90,https://item.jd.com/326467.html,士力架花生夹心巧克力全家桶460g桶装王嘉尔代言（新旧包装随机发放）,巧克力,,200万+条评价,https://mall.jd.com/index-1000078502.html?from=pc,德芙京东自营旗舰店,"
								自营
						",https://cart.jd.com/gate.action?pid=326467&pcount=1&ptype=1,加入购物车
,189.00,189.00,https://item.jd.com/10024097990796.html,"爱心东东	
朵娜贝拉（Dorabella）比利时进口巧克力礼盒装糖果平安夜男生送女友儿童圣诞节生日礼物 【法国香颂-梦幻金】25粒巧克力 礼盒装",巧克力,多仓发货，部分区域次日达。顺丰闪电配送，代写贺卡；送女友老婆情人节生日礼物，来自欧洲的甜蜜浪漫；,1万+条评价,https://mall.jd.com/index-581814.html?from=pc,朵娜贝拉食品官方旗舰店,"
								京东物流
								券188-10
						",https://cart.jd.com/gate.action?pid=10024097990796&pcount=1&ptype=1,加入购物车
,118.00,118.00,https://item.jd.com/10040096020801.html,费列罗 (FERRERO)榛果威化30粒48粒96粒巧克力喜糖圣诞节新年伴手礼物 费列罗48粒（3粒装）,巧克力,费列罗 (FERRERO)榛果威化30粒48粒96粒巧克力喜糖圣诞节新年伴手礼物 费列罗48粒（3粒装）,2000+条评价,https://mall.jd.com/index-11623132.html?from=pc,烁美进口食品专营店,"
								每满115-8
						",https://cart.jd.com/gate.action?pid=10040096020801&pcount=1&ptype=1,加入购物车
,191.00,191.00,https://item.jd.com/100029390711.html,"
歌帝梵(GODIVA)松露形巧克力礼盒16颗装 圣诞节礼物 进口巧克力",巧克力,"【限时折上折】领券下单更优惠！！！ 【入会有礼】入会得100积分,单笔实付299赠20元E卡 【实付满赠】会员专享下单即赠500京豆!速戳》",2万+条评价,https://mall.jd.com/index-1000395803.html?from=pc,歌帝梵（GODIVA）臻享京东自营旗舰店,"
								自营
								新品
								1件9折
								赠
						",https://cart.jd.com/gate.action?pid=100029390711&pcount=1&ptype=1,加入购物车
,399.00,399.00,https://item.jd.com/100032537582.html,"
歌帝梵GODIVA比利时进口夹心巧克力金装25枚圣诞节礼物送儿童女友女朋友男朋友生日礼物情人节巧克力礼盒装",巧克力,歌帝梵GODIVA比利时进口夹心巧克力金装25枚圣诞节礼物送儿童女友女朋友男朋友生日礼物情人节巧克力礼盒装,2万+条评价,https://mall.jd.com/index-1000351986.html?from=pc,GODIVA/歌帝梵京东自营专区,"
								自营
								2件9折
						",https://cart.jd.com/gate.action?pid=100032537582&pcount=1&ptype=1,加入购物车
,22.90,22.90,https://item.jd.com/508480.html,"
三角（Toblerone）瑞士牛奶巧克力含蜂蜜及巴旦木糖100g休闲零食 生日礼物 圣诞礼物",巧克力,三角（Toblerone）瑞士牛奶巧克力含蜂蜜及巴旦木糖100g休闲零食 生日礼物 圣诞礼物,50万+条评价,https://mall.jd.com/index-1000351622.html?from=pc,三角金象巧克力京东自营专区,"
								自营
								品质溯源
								2件9折
						",https://cart.jd.com/gate.action?pid=508480&pcount=1&ptype=1,加入购物车
,168.00,168.00,https://item.jd.com/10066995881892.html,德芙（Dove）巧克力礼盒装糖果圣诞节礼物送女友情人节生日礼物女生老婆惊喜 双层德芙爱心礼盒,巧克力,,2条评价,https://mall.jd.com/index-10590161.html?from=pc,小七食品专营店,"
						",https://cart.jd.com/gate.action?pid=10066995881892&pcount=1&ptype=1,加入购物车
,109.00,109.00,https://item.jd.com/10061512599179.html,"
瑞士莲（lindt） 进口黑巧克Lindor混合5口味软心结婚喜糖果婚庆年货圣诞节生日礼物送女生零食 【日期新鲜】600g精选5口味装",,【瑞士莲600g混装】下单立减10元。正品保证，日期新鲜。【团购联系客服更优惠哦】,2000+条评价,https://mall.jd.com/index-10590161.html?from=pc,小七食品专营店,"
								京东物流
								券2-1
						",https://cart.jd.com/gate.action?pid=10061512599179&pcount=1&ptype=1,加入购物车
,89.30,89.30,https://item.jd.com/317655.html,"
费列罗（FERRERO）榛果威化糖果巧克力制品 婚庆喜糖伴手礼圣诞节送礼 30粒375g",巧克力,"【费列罗健达巧克力，圣诞特惠】【黑巧新品火爆上市，三种口味，下单送礼品袋】！加入会员领券且可抽超值大奖,数量有限，速抢，更多优惠进入",200万+条评价,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"
								自营
								赠
						",https://cart.jd.com/gate.action?pid=317655&pcount=1&ptype=1,加入购物车
,129.00,129.00,https://item.jd.com/10058542049655.html,诺梵【全国七仓发货】金松露巧克力圣诞节礼盒装纯黑可可脂 金松露,巧克力,诺梵【全国七仓发货】金松露巧克力圣诞节礼盒装纯黑可可脂 金松露,5000+条评价,https://mall.jd.com/index-22435.html?from=pc,诺梵官方旗舰店,"
								京东物流
								券99-30
								满258-30
						",https://cart.jd.com/gate.action?pid=10058542049655&pcount=1&ptype=1,加入购物车
,105.00,105.00,https://item.jd.com/100016164339.html,"
Lindt瑞士莲冰山雪融 法国进口冬季限定混合口味巧克力175g送礼伴手礼",巧克力,瑞士莲冰山雪融系列巧克力，入口即化，牛奶和巧克力口味两种口味，性体会奶味的醇厚和浓郁的可可醇香。内含24粒独立小包装，方便卫生，适合同朋友家人一起分享~,5000+条评价,https://mall.jd.com/index-1000081022.html?from=pc,瑞士莲京东自营旗舰店,"
								自营
						",https://cart.jd.com/gate.action?pid=100016164339&pcount=1&ptype=1,加入购物车
,59.90,59.90,https://item.jd.com/317652.html,"
费列罗（FERRERO）榛果威化糖果巧克力制品 喜糖伴手礼圣诞节送礼16粒礼盒装200g",巧克力,"【费列罗健达巧克力，圣诞特惠】【黑巧新品火爆上市，三种口味，下单送礼品袋】！加入会员领券且可抽超值大奖,数量有限，速抢，更多优惠进入",200万+条评价,https://mall.jd.com/index-1000072521.html?from=pc,费列罗京东自营旗舰店,"
								自营
								赠
						",https://cart.jd.com/gate.action?pid=317652&pcount=1&ptype=1,加入购物车
