会员卡号,此次消费的会员积分,积分等级,年龄,年龄段,入会时长,消费次数,消费频率,消费金额,消费水平,平均每单金额,价值属性,最后一次消费距今时长,柜组名称
007fc54a,7766.0,积分低等级,40,青年,487,4,低频消费,15715.0,中等消费水平,3928.75,单均价值高,127,阿玛尼GIORGIO ARMANI
0080621a,9057.0,积分低等级,57,中年,1046,3,低频消费,9057.0,低消费水平,3019.0,单均价值一般,208,COACH 柜
0084253d,3869.0,积分低等级,28,青年,1054,3,低频消费,3869.0,低消费水平,1289.6666666666667,单均价值一般,870,贝贝摩登
008534b4,50798.0,积分中等级,53,中年,131,7,中频消费,50798.3,中等消费水平,7256.900000000001,单均价值高,37,PORTS
0086d552,2794.0,积分低等级,46,中年,53,1,低频消费,2794.0,低消费水平,2794.0,单均价值一般,53,HOGL
008a2320,10031.0,积分中等级,54,中年,521,3,低频消费,10031.0,中等消费水平,3343.6666666666665,单均价值一般,374,GORNIA柜
008ac2b9,0.0,积分低等级,55,中年,103,1,低频消费,597.6,低消费水平,597.6,单均价值一般,103,菲安妮女包
008b161e,43057.0,积分中等级,60,中年,942,15,中频消费,80279.0,中等消费水平,5351.933333333333,单均价值高,46,23区
00913d55,2048.0,积分低等级,29,青年,628,3,低频消费,4320.0,低消费水平,1440.0,单均价值一般,599,CLARINS
0093a238,11910.0,积分中等级,30,青年,329,3,低频消费,12190.0,中等消费水平,4063.3333333333335,单均价值高,323,Dior
0093d95d,1180.0,积分低等级,52,中年,10,1,低频消费,1180.0,低消费水平,1180.0,单均价值一般,10,金利来男鞋
0095c503,52.0,积分低等级,41,中年,991,1,低频消费,13260.0,中等消费水平,13260.0,单均价值高,991,瑞士钟表柜
0095f9d4,0.0,积分低等级,49,中年,1015,1,低频消费,134.0,低消费水平,134.0,单均价值低,1015,毛巾美术馆柜
00972a5e,67200.24,积分中等级,52,中年,535,35,高频消费,154991.47,高消费水平,4428.327714285714,单均价值高,16,bebelux
0099f444,11676.0,积分中等级,43,中年,609,2,低频消费,11676.0,中等消费水平,5838.0,单均价值高,609,CANUDILO柜
009c8651,7500.0,积分低等级,50,中年,542,3,低频消费,7500.0,低消费水平,2500.0,单均价值一般,347,雅诗兰黛ESTEE LAUDER
00a2a498,17064.0,积分中等级,53,中年,1071,10,中频消费,17064.0,中等消费水平,1706.4,单均价值一般,240,LAFEE柜
00a30736,44357.0,积分中等级,53,中年,863,11,中频消费,62038.8,中等消费水平,5639.890909090909,单均价值高,4,BUOU BUOU
00a42a8c,1399.0,积分低等级,50,中年,863,1,低频消费,1399.0,低消费水平,1399.0,单均价值一般,863,OXETTE柜
00a69c64,6496.0,积分低等级,33,青年,868,2,低频消费,9984.0,低消费水平,4992.0,单均价值高,867,ARMANI COLLEZIONI
00acc42b,2291.0,积分低等级,43,中年,382,3,低频消费,2291.0,低消费水平,763.6666666666666,单均价值一般,219,EK
00ae513b,0.0,积分低等级,29,青年,13,1,低频消费,1200.0,低消费水平,1200.0,单均价值一般,13,Dior
00af6213,7442.0,积分低等级,24,青年,1085,10,中频消费,7442.0,低消费水平,744.2,单均价值一般,3,兰芝柜
00b21dd1,479.0,积分低等级,62,中年,1045,1,低频消费,479.0,低消费水平,479.0,单均价值低,1045,PAWINPAW 柜
00b2e072,718.0,积分低等级,32,青年,1074,1,低频消费,3588.0,低消费水平,3588.0,单均价值高,1074,凯驰怡口柜
00b3d6a9,6507.0,积分低等级,45,中年,520,3,低频消费,6507.0,低消费水平,2169.0,单均价值一般,520,LANCOME
00b4655a,40992.0,积分中等级,49,中年,644,4,低频消费,46495.0,中等消费水平,11623.75,单均价值高,158,MU
00b891a3,144961.0,积分高等级,48,中年,1077,17,中频消费,197470.9,高消费水平,11615.935294117648,单均价值高,4,VASTO柜
00b962e8,1500.0,积分低等级,37,青年,948,1,低频消费,1500.0,低消费水平,1500.0,单均价值一般,948,倩碧(CLINIQUE)
00bc98ed,1090.0,积分低等级,33,青年,1053,2,低频消费,1090.0,低消费水平,545.0,单均价值一般,214,膳魔师柜
00bd5bad,4760.0,积分低等级,41,中年,1061,4,低频消费,4760.0,低消费水平,1190.0,单均价值一般,445,LANCOME
00be3189,1440.0,积分低等级,30,青年,885,5,低频消费,1440.0,低消费水平,288.0,单均价值低,519,YSL
00c164a4,3198.0,积分低等级,34,青年,221,3,低频消费,3198.0,低消费水平,1066.0,单均价值一般,221,ATSUGI
00c26742,1210.0,积分低等级,40,青年,1082,1,低频消费,1210.0,低消费水平,1210.0,单均价值一般,1082,科颜氏柜
00c4cef3,19116.0,积分中等级,38,青年,867,1,低频消费,26996.0,中等消费水平,26996.0,单均价值高,867,周大福柜
00c784c2,0.0,积分低等级,32,青年,971,2,低频消费,3725.0,低消费水平,1862.5,单均价值一般,971,SK-II
00c88884,5275.0,积分低等级,29,青年,1078,5,低频消费,5375.0,低消费水平,1075.0,单均价值一般,585,兰芝柜
00c9660b,17569.0,积分中等级,44,中年,1082,4,低频消费,17569.0,中等消费水平,4392.25,单均价值高,165,PORTS
00cb5afc,0.0,积分低等级,32,青年,269,4,低频消费,1566.0,低消费水平,391.5,单均价值低,194,AD KIDS
00cb7eed,2699.0,积分低等级,42,中年,130,1,低频消费,2699.0,低消费水平,2699.0,单均价值一般,130,例外（4F女装）
00ce6540,72377.0,积分中等级,52,中年,662,18,中频消费,109085.69,高消费水平,6060.316111111111,单均价值高,37,ZUCZUG
00cfecdf,880.0,积分低等级,42,中年,357,2,低频消费,880.0,低消费水平,440.0,单均价值低,340,Nature's Bounty
00d7c993,302.0,积分低等级,52,中年,1067,14,中频消费,47141.2,中等消费水平,3367.2285714285713,单均价值一般,301,La Clover
00d86b46,7428.0,积分低等级,43,中年,1002,4,低频消费,9300.0,低消费水平,2325.0,单均价值一般,1001,施华洛世奇柜
00d9e175,192113.05,积分高等级,51,中年,1077,38,高频消费,236954.73,高消费水平,6235.650789473684,单均价值高,4,PORTS
00dea7c5,23460.0,积分中等级,33,青年,622,12,中频消费,23460.0,中等消费水平,1955.0,单均价值一般,28,Shu Uemura
00dfa8a8,1971.0,积分低等级,40,青年,304,2,低频消费,3211.0,低消费水平,1605.5,单均价值一般,250,Dior
00e3627f,1840.0,积分低等级,57,中年,930,1,低频消费,1840.0,低消费水平,1840.0,单均价值一般,930,阿玛尼GIORGIO ARMANI
00e40ed7,805.0,积分低等级,31,青年,295,1,低频消费,805.0,低消费水平,805.0,单均价值一般,295,Shu Uemura
00e4cb47,4978.0,积分低等级,40,青年,1049,8,中频消费,7510.3,低消费水平,938.7875,单均价值一般,172,LAMPO
00e5eb18,3234.0,积分低等级,53,中年,532,2,低频消费,3234.0,低消费水平,1617.0,单均价值一般,532,CLEAR LUCERNE
00e5ee04,1580.0,积分低等级,30,青年,633,1,低频消费,1580.0,低消费水平,1580.0,单均价值一般,633,CLARINS
00e7986e,420.0,积分低等级,27,青年,936,1,低频消费,420.0,低消费水平,420.0,单均价值低,936,香奈儿(CHANEL)
00e89b98,5629.0,积分低等级,30,青年,1052,3,低频消费,16600.0,中等消费水平,5533.333333333333,单均价值高,1039,谢瑞麟柜
00e8b935,812.0,积分低等级,38,青年,1011,1,低频消费,812.0,低消费水平,812.0,单均价值一般,1011,乔治.阿玛尼
00f200ed,7560.0,积分低等级,22,青年,516,3,低频消费,7560.0,低消费水平,2520.0,单均价值一般,474,Koradior
00f5d883,3910.0,积分低等级,23,青年,13,3,低频消费,3910.0,低消费水平,1303.3333333333333,单均价值一般,2,Dior
00f984da,1060.0,积分低等级,40,青年,875,2,低频消费,1060.0,低消费水平,530.0,单均价值一般,485,BOBBI BROWN
00faef58,940.0,积分低等级,45,中年,1062,1,低频消费,1640.0,低消费水平,1640.0,单均价值一般,1062,MAX&CO柜
0101ca7c,1630.0,积分低等级,33,青年,1097,2,低频消费,1630.0,低消费水平,815.0,单均价值一般,1081,圣罗兰柜
0104d4da,5959.0,积分低等级,33,青年,21,3,低频消费,5729.0,低消费水平,1909.6666666666667,单均价值一般,2,YSL
0104f27a,679.0,积分低等级,43,中年,1059,1,低频消费,679.0,低消费水平,679.0,单均价值一般,1059,欧莱雅柜
010710b0,12698.0,积分中等级,37,青年,900,6,低频消费,12997.4,中等消费水平,2166.233333333333,单均价值一般,80,LIME
01078b27,2906.0,积分低等级,37,青年,974,5,低频消费,2906.0,低消费水平,581.2,单均价值一般,150,ROOKIE
0108d67f,1335.0,积分低等级,29,青年,423,2,低频消费,1335.0,低消费水平,667.5,单均价值一般,309,CLINIQUE
010977ce,12246.0,积分中等级,51,中年,1074,4,低频消费,15445.0,中等消费水平,3861.25,单均价值高,356,LAMPO
010b0582,1295.0,积分低等级,28,青年,1061,3,低频消费,1495.0,低消费水平,498.3333333333333,单均价值低,1032,圣罗兰柜
010ba753,1415.0,积分低等级,31,青年,1056,2,低频消费,1415.0,低消费水平,707.5,单均价值一般,1056,欧舒丹柜
010bfcf6,10064.0,积分中等级,45,中年,935,5,低频消费,10064.0,中等消费水平,2012.8,单均价值一般,549,MAX&CO柜
010d7b86,14508.0,积分中等级,45,中年,389,4,低频消费,24614.1,中等消费水平,6153.525,单均价值高,103,ZUCZUG
010f3c5f,710.0,积分低等级,32,青年,928,2,低频消费,710.0,低消费水平,355.0,单均价值低,928,OHUI/后
0111227c,7390.0,积分低等级,41,中年,258,2,低频消费,7390.0,低消费水平,3695.0,单均价值高,47,LA MER
011292b7,4464.0,积分低等级,38,青年,906,3,低频消费,4464.0,低消费水平,1488.0,单均价值一般,403,科颜氏(Kiehl's)
0114cb4d,20223.0,积分中等级,47,中年,1078,11,中频消费,23505.0,中等消费水平,2136.818181818182,单均价值一般,206,LAFEE柜
0116568e,1420.0,积分低等级,48,中年,382,1,低频消费,1420.0,低消费水平,1420.0,单均价值一般,382,Dior
0116fc67,11670.0,积分中等级,43,中年,1098,3,低频消费,11670.0,中等消费水平,3890.0,单均价值高,368,NAERSILING
0117e856,1130.0,积分低等级,23,青年,389,2,低频消费,1130.0,低消费水平,565.0,单均价值一般,200,阿玛尼GIORGIO ARMANI
0118536c,1504.0,积分低等级,30,青年,725,2,低频消费,1504.0,低消费水平,752.0,单均价值一般,725,Paul Frank
0119537c,0.0,积分低等级,37,青年,970,1,低频消费,981.0,低消费水平,981.0,单均价值一般,970,迪奥(Dior)
011b9449,3078.0,积分低等级,32,青年,906,8,中频消费,7460.0,低消费水平,932.5,单均价值一般,343,VJC
011cc47a,7794.0,积分低等级,37,青年,1079,5,低频消费,7794.0,低消费水平,1558.8,单均价值一般,963,兰蔻柜
01200cfb,2710.0,积分低等级,48,中年,924,4,低频消费,6140.0,低消费水平,1535.0,单均价值一般,266,AUPRES
0122ca6f,2425.0,积分低等级,49,中年,395,3,低频消费,6450.0,低消费水平,2150.0,单均价值一般,367,SHEFL(女装）
0123979f,30089.0,积分中等级,47,中年,636,9,中频消费,35339.1,中等消费水平,3926.5666666666666,单均价值高,24,ZUCZUG
0124300f,1040.0,积分低等级,31,青年,4,1,低频消费,1040.0,低消费水平,1040.0,单均价值一般,4,雅诗兰黛ESTEE LAUDER
01248b65,17488.0,积分中等级,40,青年,1085,6,低频消费,17488.0,中等消费水平,2914.6666666666665,单均价值一般,1064,COCOON 柜
0124b630,7390.0,积分低等级,36,青年,1060,5,低频消费,7390.0,低消费水平,1478.0,单均价值一般,724,迪奥柜
0125d457,12355.0,积分中等级,31,青年,1058,10,中频消费,12355.0,中等消费水平,1235.5,单均价值一般,931,圣罗兰(YSL)
0126293b,100.0,积分低等级,28,青年,553,1,低频消费,100.0,低消费水平,100.0,单均价值低,553,科颜氏(Kiehl's)
0126970c,16838.0,积分中等级,36,青年,896,19,中频消费,28504.5,中等消费水平,1500.2368421052631,单均价值一般,21,雅诗兰黛ESTEE LAUDER
01280a31,12527.0,积分中等级,56,中年,402,2,低频消费,14125.0,中等消费水平,7062.5,单均价值高,243,BUOU BUOU
0128c3b2,13265.99,积分中等级,42,中年,1050,1,低频消费,13266.0,中等消费水平,13266.0,单均价值高,1050,MARYLING 柜
012b9e71,4337.610000000001,积分低等级,50,中年,1044,3,低频消费,4626.0,低消费水平,1542.0,单均价值一般,529,JuicyCouture柜
012c2898,7839.0,积分低等级,42,中年,404,6,低频消费,8234.0,低消费水平,1372.3333333333333,单均价值一般,403,CLARINS
012d3ce7,450.0,积分低等级,67,老年,219,1,低频消费,450.0,低消费水平,450.0,单均价值低,219,膳魔师柜
0130d075,1428.0,积分低等级,31,青年,290,2,低频消费,2940.0,低消费水平,1470.0,单均价值一般,11,CHANEL
01364fe9,4991.0,积分低等级,35,青年,403,4,低频消费,37630.0,中等消费水平,9407.5,单均价值高,4,万宝龙柜(综合转男装)
01390f57,5676.0,积分低等级,52,中年,384,4,低频消费,5676.0,低消费水平,1419.0,单均价值一般,373,CARBANNIA（卡邦尼）
013a4751,61150.0,积分中等级,44,中年,565,10,中频消费,73695.0,中等消费水平,7369.5,单均价值高,11,LANCOME
013b7e5c,3975.0,积分低等级,43,中年,100,1,低频消费,3975.0,低消费水平,3975.0,单均价值高,100,LANCOME
013c278c,830.0,积分低等级,24,青年,941,1,低频消费,830.0,低消费水平,830.0,单均价值一般,941,迪奥(Dior)
013c86de,398.0,积分低等级,56,中年,1065,1,低频消费,398.0,低消费水平,398.0,单均价值低,1065,同仁堂柜
01458b78,790.0,积分低等级,26,青年,31,2,低频消费,790.0,低消费水平,395.0,单均价值低,31,科颜氏(Kiehl's)
014b5f8e,126474.0,积分高等级,44,中年,1089,21,中频消费,126524.0,高消费水平,6024.952380952381,单均价值高,235,GUERLAIN
014b9641,3052.0,积分低等级,46,中年,323,3,低频消费,8052.0,低消费水平,2684.0,单均价值一般,323,YSL
014db18f,718.0,积分低等级,57,中年,1057,1,低频消费,718.0,低消费水平,718.0,单均价值一般,1057,soho柜
014ddf0a,10781.0,积分中等级,28,青年,591,10,中频消费,11305.0,中等消费水平,1130.5,单均价值一般,10,Shu Uemura
015055bc,28426.0,积分中等级,55,中年,1025,7,中频消费,23097.0,中等消费水平,3299.5714285714284,单均价值一般,356,LANCOME
0150edda,62554.0,积分中等级,50,中年,1016,20,中频消费,62712.0,中等消费水平,3135.6,单均价值一般,966,雅诗兰黛柜
015217c6,42495.0,积分中等级,50,中年,523,12,中频消费,48602.0,中等消费水平,4050.1666666666665,单均价值高,122,ARMANI COLLEZIONI
0153622b,3115.0,积分低等级,43,中年,38,1,低频消费,3115.4,低消费水平,3115.4,单均价值一般,38,O'2ND
0153dd53,2220.0,积分低等级,24,青年,23,1,低频消费,2220.0,低消费水平,2220.0,单均价值一般,23,CHANEL
0154d686,2090.0,积分低等级,18,少年,206,4,低频消费,2090.0,低消费水平,522.5,单均价值一般,108,CLINIQUE
015539eb,6410.0,积分低等级,44,中年,55,1,低频消费,6410.0,低消费水平,6410.0,单均价值高,55,LANCOME
01554a41,4811.0,积分低等级,62,中年,1033,3,低频消费,13760.07,中等消费水平,4586.69,单均价值高,306,雅诗兰黛ESTEE LAUDER
01577fba,37066.0,积分中等级,54,中年,251,21,中频消费,124908.16,高消费水平,5948.007619047619,单均价值高,39,Dior
0159122d,31948.0,积分中等级,54,中年,592,15,中频消费,85640.59,中等消费水平,5709.372666666666,单均价值高,100,LANCOME
015f32f0,5504.0,积分低等级,49,中年,501,2,低频消费,5504.0,低消费水平,2752.0,单均价值一般,383,V-GRASS柜
01649a2c,2775.0,积分低等级,30,青年,585,3,低频消费,2775.0,低消费水平,925.0,单均价值一般,192,Shu Uemura
01667bb6,29720.0,积分中等级,52,中年,591,7,中频消费,29720.0,中等消费水平,4245.714285714285,单均价值高,7,LANCOME
016952ea,2010.0,积分低等级,48,中年,887,3,低频消费,2010.0,低消费水平,670.0,单均价值一般,662,SHE'S
016ae2ba,110.0,积分低等级,52,中年,557,1,低频消费,110.0,低消费水平,110.0,单均价值低,557,鞋博士柜(新)
016af1ba,3318.0,积分低等级,46,中年,646,2,低频消费,3318.0,低消费水平,1659.0,单均价值一般,547,SK-II
016ce967,4440.0,积分低等级,38,青年,1080,3,低频消费,4440.0,低消费水平,1480.0,单均价值一般,982,兰蔻柜
016d1994,4786.0,积分低等级,38,青年,21,1,低频消费,4786.0,低消费水平,4786.0,单均价值高,18,H.GENTEEL荷高
016dfdbe,4646.0,积分低等级,45,中年,299,3,低频消费,4646.0,低消费水平,1548.6666666666667,单均价值一般,262,YSL
016f6c86,3160.0,积分低等级,29,青年,369,3,低频消费,3160.0,低消费水平,1053.3333333333333,单均价值一般,74,BOBBI BROWN
0172ed3e,120986.0,积分高等级,52,中年,1089,36,高频消费,136616.24,高消费水平,3794.8955555555553,单均价值高,2,LIU JO 柜
0179f924,962.0,积分低等级,55,中年,1045,2,低频消费,2389.0,低消费水平,1194.5,单均价值一般,927,阿玛尼GIORGIO ARMANI
017c979b,16729.0,积分中等级,28,青年,405,15,中频消费,22245.64,中等消费水平,1483.0426666666667,单均价值一般,24,欧舒丹柜
017ca791,6347.0,积分低等级,33,青年,879,3,低频消费,6347.0,低消费水平,2115.6666666666665,单均价值一般,879,VICUTU
017cd37c,39396.0,积分中等级,31,青年,1095,25,中频消费,95367.0,中等消费水平,3814.68,单均价值高,165,娇韵诗(CLARINS)
017d031e,340.0,积分低等级,59,中年,1000,1,低频消费,340.0,低消费水平,340.0,单均价值低,1000,兰蔻柜
017edf35,1265.0,积分低等级,41,中年,1034,1,低频消费,1265.0,低消费水平,1265.0,单均价值一般,1034,碧欧泉柜
0180eb3f,330.0,积分低等级,35,青年,1018,3,低频消费,8421.01,低消费水平,2807.0033333333336,单均价值一般,101,ELLE柜
018313fd,200736.0,积分高等级,43,中年,660,20,中频消费,260841.24,高消费水平,13042.062,单均价值高,37,MAX&CO柜
018839a1,1335.0,积分低等级,25,青年,1036,3,低频消费,1335.0,低消费水平,445.0,单均价值低,940,Calvin Klein Jeans柜
018d4efa,6890.0,积分低等级,36,青年,655,8,中频消费,9750.6,低消费水平,1218.825,单均价值一般,115,BOBBI BROWN
01991fab,95599.0,积分中等级,44,中年,348,23,中频消费,138180.43,高消费水平,6007.844782608695,单均价值高,39,LA MER
0199a515,4760.0,积分低等级,52,中年,964,3,低频消费,6920.0,低消费水平,2306.6666666666665,单均价值一般,396,雅诗兰黛(ESTEE LAUDE
019b664e,72359.0,积分中等级,52,中年,893,13,中频消费,83338.16,中等消费水平,6410.627692307693,单均价值高,5,LA FEE
019e95b4,4670.0,积分低等级,47,中年,876,3,低频消费,4670.0,低消费水平,1556.6666666666667,单均价值一般,590,COACH 柜
019f11e3,5720.0,积分低等级,52,中年,1051,1,低频消费,5820.0,低消费水平,5820.0,单均价值高,1051,宝姿柜
019ffa03,5980.0,积分低等级,46,中年,3,3,低频消费,5980.0,低消费水平,1993.3333333333333,单均价值一般,3,OHUI/后
01a3c748,11319.0,积分中等级,49,中年,928,3,低频消费,11319.0,中等消费水平,3773.0,单均价值高,928,VASTO柜
01a86544,3820.0,积分低等级,52,中年,366,9,中频消费,15563.57,中等消费水平,1729.2855555555554,单均价值一般,178,Juicy Couture
01ac07b1,100054.0,积分高等级,53,中年,1094,22,中频消费,105910.12,高消费水平,4814.096363636363,单均价值高,113,WMF 柜
01ac4dac,200.0,积分低等级,32,青年,13,1,低频消费,200.0,低消费水平,200.0,单均价值低,13,Shu Uemura
01ad29b7,3859.0,积分低等级,61,中年,403,4,低频消费,14737.279999999999,中等消费水平,3684.3199999999997,单均价值高,300,朗姿柜
01ad7bce,2539.0,积分低等级,49,中年,725,3,低频消费,2539.0,低消费水平,846.3333333333334,单均价值一般,208,MARJA KURKI
01b039ff,13970.0,积分中等级,32,青年,1086,7,中频消费,13970.0,中等消费水平,1995.7142857142858,单均价值一般,381,LANCOME
01b0ec2b,219887.0,积分高等级,58,中年,545,25,中频消费,257244.12,高消费水平,10289.764799999999,单均价值高,33,GORNIA柜
01b20336,12338.0,积分中等级,40,青年,1029,4,低频消费,12338.0,中等消费水平,3084.5,单均价值一般,883,Aimer Kids
01b3b257,2091.0,积分低等级,50,中年,988,1,低频消费,2091.0,低消费水平,2091.0,单均价值一般,988,pikolinos
01b5d393,6999.0,积分低等级,32,青年,37,3,低频消费,6999.1,低消费水平,2333.0333333333333,单均价值一般,3,PORTS
